hello,0.599325954914093
goodbye,0.584229052066803
please,0.6338616013526917
thank you,-10000.0
yes,0.7557185888290405
no,0.8263570070266724
help,0.7976016402244568
sorry,0.7068237662315369
excuse me,-10000.0
love,0.7067317962646484
friend,0.7573155760765076
family,0.6782676577568054
home,0.7072917222976685
work,0.7481101155281067
drink,0.699092447757721
sleep,0.5992845296859741
dream,0.6542324423789978
smile,0.6348837614059448
laugh,0.6796888113021851
cry,0.659145176410675
happy,0.7788467407226562
sad,0.6622241735458374
angry,0.6827539205551147
tired,0.7192834615707397
hungry,0.6211792826652527
thirsty,0.5137530565261841
hot,0.618662416934967
cold,0.6249481439590454
beautiful,0.6774278879165649
ugly,0.6612277626991272
smart,0.6260864734649658
stupid,0.6991298198699951
fun,0.725753664970398
boring,0.640895426273346
fast,0.666520357131958
slow,0.6893462538719177
big,0.7442073225975037
small,0.725892961025238
old,0.6999208331108093
young,0.6949553489685059
rich,0.5779881477355957
poor,0.6461755037307739
good,0.8141680955886841
bad,0.7336540818214417
right,0.734747588634491
wrong,0.7551279664039612
brave,0.6039160490036011
fear,0.7233774662017822
hope,0.7593948841094971
faith,0.6801518797874451
truth,0.6664456725120544
lie,0.5648302435874939
want,0.8704130053520203
need,0.8364372849464417
give,0.8053070902824402
take,0.842820405960083
buy,0.7315958142280579
sell,0.7118174433708191
watch,0.6876749992370605
talk,0.7392945289611816
read,0.6996822953224182
write,0.6629612445831299
sing,0.6218288540840149
dance,0.6846777200698853
run,0.7167410850524902
walk,0.6615825295448303
drive,0.6505570411682129
fly,0.6360167860984802
swim,0.5551947355270386
cook,0.6052981019020081
clean,0.6139185428619385
learn,0.7493653297424316
teach,0.6746219992637634
study,0.7105341553688049
rest,0.7767140865325928
play,0.728594958782196
destroy,0.6528285145759583
build,0.7094528079032898
break,0.7188323140144348
fix,0.5836029052734375
open,0.6399883031845093
close,0.7024242877960205
enter,0.690400242805481
exit,0.552248477935791
start,0.8103805780410767
stop,0.7366433143615723
win,0.7392985224723816
lose,0.7303022742271423
begin,0.7429978847503662
end,0.7880129814147949
change,0.7727777361869812
stay,0.7540945410728455
move,0.8006992936134338
see,0.8206203579902649
hear,0.7148329019546509
smell,0.6746513247489929
taste,0.6611253619194031
touch,0.6757854223251343
feel,0.8206430077552795
know,0.8936055898666382
believe,0.8317517638206482
understand,0.7941690683364868
forget,0.7603197693824768
remember,0.7847248911857605
like,0.802209198474884
dislike,0.6443383693695068
choose,0.7217133045196533
decide,0.7611656785011292
meet,0.7164240479469299
leave,0.7512550950050354
return,0.7530004382133484
call,0.7255924344062805
text,0.6818807125091553
email,0.6545307040214539
paint,0.6369487643241882
draw,0.6824829578399658
bake,0.6679698824882507
shop,0.6736734509468079
save,0.6463119387626648
spend,0.6907153725624084
travel,0.6473838686943054
explore,0.6304434537887573
visit,0.6912544965744019
exercise,0.6096768379211426
relax,0.589741051197052
frown,0.5570416450500488
hug,0.6022722721099854
kiss,0.564674437046051
hold,0.7659162878990173
listen,0.6893796920776367
shout,0.6799364686012268
whisper,0.6000836491584778
hum,0.48527562618255615
think,0.8806419372558594
imagine,0.7849640250205994
plan,0.7371614575386047
create,0.743961751461029
worry,0.7582721710205078
stress,0.645975649356842
doubt,0.7586386203765869
trust,0.6119385361671448
hate,0.6044462323188782
miss,0.5597599744796753
forgive,0.6167883276939392
regret,0.6910647749900818
succeed,0.6139734983444214
fail,0.7004597783088684
achieve,0.6999542117118835
graduate,0.7834290862083435
retire,0.6069578528404236
volunteer,0.5833898186683655
donate,0.6074177026748657
share,0.684873104095459
support,0.7136314511299133
care,0.7086300253868103
respect,0.6833289265632629
apologize,0.6819207072257996
complain,0.6526186466217041
celebrate,0.7005449533462524
party,0.7326691746711731
organize,0.6409981846809387
decorate,0.5667223930358887
invite,0.6190659999847412
attend,0.6755919456481934
